date	open	high	low	close	sma	std	upper	lower	buy	sell
2021-11-10	1.77500000	1.89300000	1.52700000	1.70000000						
2021-11-11	1.69900000	1.79000000	1.66400000	1.75400000						
2021-11-12	1.75400000	1.77700000	1.63600000	1.71500000						
2021-11-13	1.71600000	1.77100000	1.69800000	1.75000000						
2021-11-14	1.75100000	1.77500000	1.68600000	1.72800000						
2021-11-15	1.72800000	1.76700000	1.68800000	1.69400000						
2021-11-16	1.69400000	1.69400000	1.46300000	1.55900000						
2021-11-17	1.55900000	1.67400000	1.48800000	1.63700000						
2021-11-18	1.63600000	1.70200000	1.44300000	1.49400000						
2021-11-19	1.49500000	1.62500000	1.47800000	1.62200000						
2021-11-20	1.62200000	1.67900000	1.55900000	1.66400000						
2021-11-21	1.66300000	1.66700000	1.59400000	1.59800000						
2021-11-22	1.59800000	1.62100000	1.52500000	1.55900000						
2021-11-23	1.55900000	1.76300000	1.54200000	1.75100000						
2021-11-24	1.75000000	1.83800000	1.64800000	1.68600000						
2021-11-25	1.68500000	1.94000000	1.67000000	1.92500000						
2021-11-26	1.92600000	1.96700000	1.58900000	1.64000000						
2021-11-27	1.63900000	1.72600000	1.58700000	1.61300000						
2021-11-28	1.61200000	1.66500000	1.49200000	1.65200000						
2021-11-29	1.65200000	1.83400000	1.62900000	1.81600000	1.67785	0.09758951356521219	1.8730290271304244	1.4826709728695757		
2021-11-30	1.81700000	1.88000000	1.69600000	1.78500000	1.6821	0.10041487623067137	1.8829297524613426	1.4812702475386572		
2021-12-01	1.78400000	2.09400000	1.77000000	2.00500000	1.69465	0.12301573497984546	1.9406814699596908	1.4486185300403092		2.005
2021-12-02	2.00600000	2.20200000	1.94800000	2.12300000	1.71505	0.15598092832138166	2.0270118566427633	1.4030881433572366		2.123
2021-12-03	2.12200000	2.40000000	2.06900000	2.27000000	1.74105	0.19940687709198734	2.139863754183975	1.3422362458160253		2.27
2021-12-04	2.26900000	2.31700000	1.54700000	1.97500000	1.7534	0.20609282527923906	2.1655856505584783	1.3412143494415218		
2021-12-05	1.97400000	2.19900000	1.88200000	2.05100000	1.77125	0.2159039442851722	2.2030578885703442	1.3394421114296555		
2021-12-06	2.05000000	2.32000000	1.70000000	2.27700000	1.80715	0.23737961491869386	2.281909229837388	1.3323907701626123		
2021-12-07	2.27700000	2.52100000	2.23400000	2.34400000	1.8425	0.26206638371543234	2.3666327674308647	1.3183672325691353		
2021-12-08	2.34600000	2.57900000	2.22200000	2.42100000	1.88885	0.27863771517113306	2.446125430342266	1.3315745696577337		
2021-12-09	2.42200000	2.43900000	2.06000000	2.08500000	1.912	0.27450318759533554	2.461006375190671	1.3629936248093288		
2021-12-10	2.08400000	2.29100000	2.03800000	2.09200000	1.9334	0.2708101685100119	2.4750203370200237	1.3917796629799764		
2021-12-11	2.09200000	2.16500000	2.00800000	2.13900000	1.96045	0.26243484905781855	2.485319698115637	1.435580301884363		
2021-12-12	2.14000000	2.14200000	2.02600000	2.08400000	1.9867	0.2459022270398499	2.4785044540796997	1.4948955459203002		
2021-12-13	2.08300000	2.09400000	1.75000000	1.81700000	1.99	0.24299837556312137	2.475996751126243	1.5040032488737571		
2021-12-14	1.81700000	1.94700000	1.73500000	1.94000000	2.0027	0.23269295332329207	2.468085906646584	1.5373140933534157		
2021-12-15	1.94100000	2.22600000	1.82900000	2.12900000	2.0129	0.23357719337118057	2.4800543867423612	1.545745613257639		
2021-12-16	2.13000000	2.20800000	2.06300000	2.07000000	2.0344	0.21662103703059518	2.4676420740611906	1.6011579259388098		
2021-12-17	2.07000000	2.16100000	1.93600000	2.12700000	2.0601	0.19322141648759758	2.446542832975195	1.6736571670248046		
